rows,1,2000,0.007329800
cols,1,2000,0.004588200
blocks,1,2000,0.008117400
rows,2,2000,0.003786300
cols,2,2000,0.002851800
blocks,2,2000,0.004005100
rows,4,2000,0.001944600
cols,4,2000,0.001483200
blocks,4,2000,0.002065900
rows,8,2000,0.001863400
cols,8,2000,0.001190100
blocks,8,2000,0.001865400
rows,1,4000,0.029892200
cols,1,4000,0.018107300
blocks,1,4000,0.030830800
rows,2,4000,0.015718800
cols,2,4000,0.009975600
blocks,2,4000,0.016147100
rows,4,4000,0.007630900
cols,4,4000,0.006086600
blocks,4,4000,0.008584700
rows,8,4000,0.007509400
cols,8,4000,0.004925800
blocks,8,4000,0.007898700
rows,1,6000,0.071940400
cols,1,6000,0.041244800
blocks,1,6000,0.071034300
rows,2,6000,0.032862200
cols,2,6000,0.022222900
blocks,2,6000,0.033076300
rows,4,6000,0.019817300
cols,4,6000,0.013121400
blocks,4,6000,0.020147300
rows,8,6000,0.014179300
cols,8,6000,0.010830300
blocks,8,6000,0.016429100
rows,1,8000,0.126087900
cols,1,8000,0.074227000
blocks,1,8000,0.125298400
rows,2,8000,0.060224500
cols,2,8000,0.039395100
blocks,2,8000,0.063027900
rows,4,8000,0.033079200
cols,4,8000,0.022493100
blocks,4,8000,0.032663000
rows,8,8000,0.028059100
cols,8,8000,0.022254100
blocks,8,8000,0.029623100
rows,1,10000,0.187060800
cols,1,10000,0.116276700
blocks,1,10000,0.192331200
rows,2,10000,0.092056800
cols,2,10000,0.057358300
blocks,2,10000,0.092016200
rows,4,10000,0.050411000
cols,4,10000,0.042567800
blocks,4,10000,0.056182900
rows,8,10000,0.059661900
cols,8,10000,0.024957900
blocks,8,10000,0.033007200
