matrix_size,processes,speedup,execution_time,efficiency
500,1,1.0,0.053659,1.0
500,4,3.658983975451756,0.014665,0.914745993862939
500,9,3.8385435295800843,0.013979,0.4265048366200094
500,16,3.311466304616144,0.016204,0.206966644038509
500,25,1.218415077202543,0.04404,0.048736603088101724
1000,1,1.0,0.377668,1.0
1000,4,2.421134959099418,0.155988,0.6052837397748545
1000,9,4.2877838328792,0.08808,0.47642042587546674
1000,16,3.4651937351475834,0.108989,0.21657460844672397
1000,25,1.4050305620970471,0.268797,0.05620122248388189
2000,1,1.0,3.4767,1.0
2000,4,1.786992838562079,1.945559,0.44674820964051976
2000,9,1.8915772120631777,1.83799,0.21017524578479752
2000,16,2.1133643992895275,1.645102,0.13208527495559547
2000,25,2.757526149980489,1.260804,0.11030104599921955
4000,1,1.0,36.071124,1.0
4000,4,1.866696267914059,19.32351,0.46667406697851477
4000,9,2.0825044421431955,17.321031,0.23138938246035506
4000,16,2.2262922538738406,16.202331,0.13914326586711503
4000,25,2.082451181695045,17.321474,0.08329804726780181
